"position"	"intensity"	"p.value <"
"XXX"	3197652	1.34604719181671	0.442511301451344
"XXX"	3205632	3.13505760389892	0.0708125148703307
"XXX"	3260642	2.45994378419418	0.117475612657626
"XXX"	3262692	1.72637610661926	0.255591244349274
"XXX"	3267542	1.46037886131746	0.368635498453486
"XXX"	3273762	0.916486131350391	0.726742802759933
"XXX"	3281412	1.61853231433603	0.299726385914823
"XXX"	3282062	1.80129570373902	0.234594337378063
"XXX"	3283007.59283996	16.4801313935195	0.0031822507732572
"XXX"	3286062	1.33193752127194	0.451314537235308
"XXX"	3288412	1.61120791087007	0.302730192719486
"XXX"	3292362	2.83853254978069	0.0879133951939091
"XXX"	3295662	1.80559519375815	0.233434451582203
"XXX"	3296862	1.76028961519764	0.245985010706638
"XXX"	3307962	1.70332342702221	0.265108256007614
"XXX"	3314792	1.89780762424496	0.209493219129193
"XXX"	3321776.54482263	3.95360331581723	0.0460088032357840
"XXX"	3322556.86013172	3.10612452214324	0.0722698072805139
"XXX"	3323637.72108172	8.68029624639702	0.0114798953128718
"XXX"	3324662	8.12890858411036	0.0126100404472995
"XXX"	3325482.53122364	9.0334669455393	0.0106471567927671
"XXX"	3331062	1.20379122352182	0.526945039257673
"XXX"	3332062	3.4459172239262	0.0592731382345943
"XXX"	3335592	1.78533934917615	0.238639067332857
"XXX"	3336442	2.74027945036745	0.0938317868189388
"XXX"	3339142	1.82158911818451	0.229330240304544
"XXX"	3344392	1.44889157077406	0.376100404472995
"XXX"	3348952.748748	1.79772566464798	0.235248631929574
"XXX"	3350612	1.87243282119728	0.214697834879848
"XXX"	3353639.81536627	1.52507197052603	0.338805615036878
"XXX"	3356512	1.8855161924125	0.212586247918154
"XXX"	3357862	1.21780404092237	0.518231025458006
"XXX"	3358712	2.33373771074556	0.131989055436593
"XXX"	3382362	0.975586273771693	0.6860278372591
"XXX"	3387812	2.85429876419545	0.086366880799429
"XXX"	3389014.76298107	10.5525012533806	0.00779205329526529
"XXX"	3393122	2.03816289333684	0.177194860813705
"XXX"	3395522	1.57119109651808	0.318909112538663
"XXX"	3412562	1.46954373316554	0.363341660718534
"XXX"	3424742	1.81390550472839	0.23120390197478
"XXX"	3429651.99129325	1.42421528013084	0.392546990245063
"XXX"	3434912	2.6143688123336	0.102902688555793
"XXX"	3435312	1.99006591125217	0.187960980252201
"XXX"	3449622	2.22757651878566	0.146502498215560
"XXX"	3451752.22418198	4.74448592877074	0.0330121341898644
"XXX"	3453608.88675406	4.7798404177092	0.0323578396383536
"XXX"	3454822	2.07503453688238	0.170770877944325
"XXX"	3455405.90530135	1.9271369678737	0.203039495598382
"XXX"	3456987.56907607	1.77761801436289	0.241018320247442
"XXX"	3458462	1.39200004071614	0.413246490601951
"XXX"	3460612	2.65457961931006	0.0996609564596717
"XXX"	3462412	1.63429778424687	0.292975255769688
"XXX"	3468462	3.5951564228767	0.0549607423269094
"XXX"	3471852	2.37136445503702	0.127587437544611
"XXX"	3473102	2.84499973940483	0.0871996193195337
"XXX"	3476002	2.73826436191624	0.0939210088032358
"XXX"	3482506.83994183	1.80009051570143	0.234891743992386
"XXX"	3483257.26107412	2.19021671763033	0.152301927194861
"XXX"	3497327.26366772	1.02525970719120	0.653551034975018
"XXX"	3499192	2.09508607744998	0.167410183202474
"XXX"	3505592	1.79757668648883	0.235248631929574
"XXX"	3509502	2.73750446484366	0.0940102307875327
"XXX"	3511222.32090176	4.18043580962592	0.0410123721151558
"XXX"	3511742	1.58296581625760	0.314596716630978
"XXX"	3523152	1.40043963985441	0.407149655008327
"XXX"	3523692	2.50475995708380	0.113401142041399
"XXX"	3526642	1.37421218550994	0.423507018796098
"XXX"	3530592	1.40607233087031	0.402956221746372
"XXX"	3533248.06624094	10.4008149806074	0.00800023792529146
"XXX"	3533792	1.55356424832329	0.326522721865334
"XXX"	3534392	2.38868429108250	0.126070663811563
"XXX"	3534992.31908282	3.48337096369629	0.0581727337615989
"XXX"	3537236.92316338	1.45067752130838	0.374910778015703
"XXX"	3537842	2.10373361670856	0.165893409469427
"XXX"	3539632	1.40024738149798	0.407298358315489
"XXX"	3544882	2.23534748048108	0.145461575065429
"XXX"	3547932	1.02438428689509	0.654145848203664
"XXX"	3556412	2.38747918807688	0.12615988579586
"XXX"	3558762	1.03071107685796	0.650130858910302
"XXX"	3563712	1.78801968513898	0.237776588151320
"XXX"	3573502	1.90213441145407	0.208392814656198
"XXX"	3575702.99685522	8.30241300257868	0.0123126338329764
"XXX"	3578102	2.15658871050754	0.156673804425410
"XXX"	3581462	1.58739481171900	0.312812276945039
"XXX"	3584762	2.17417300443143	0.154383773495123
"XXX"	3585862	2.11131148060719	0.164793004996431
"XXX"	3586312	1.87012255658625	0.2151142041399
"XXX"	3587162	1.99029812894200	0.187960980252201
"XXX"	3588062	1.27074745444929	0.4873899595527
"XXX"	3595792	1.91129930494942	0.206667856293124
"XXX"	3602292	1.97944543514501	0.189834641922436
"XXX"	3604142	3.15701348322077	0.069503925767309
"XXX"	3609232	1.67349340712856	0.279116107542232
"XXX"	3623942	1.67184809768972	0.279532476802284
"XXX"	3624392	1.30018582106174	0.470973114442065
"XXX"	3629542	1.15141501896631	0.567362598144183
"XXX"	3635862	1.81520010085794	0.23081727337616
"XXX"	3637962	2.26263268648723	0.141327623126338
"XXX"	3648812	1.67973668136632	0.276617891981918
"XXX"	3651762	1.18715187075917	0.539822745657863
"XXX"	3664912	1.23641470534698	0.506751130145134
"XXX"	3670162	2.10930357617618	0.165298596240780
"XXX"	3685391.89579974	4.78757967799297	0.0322388769926243
"XXX"	3686117.14337218	1.92367630688809	0.20378301213419
"XXX"	3686602.56656937	7.78032087541817	0.0134427789674042
"XXX"	3687946.51450297	3.8860204020685	0.0476742802759933
"XXX"	3691852	1.82957747827218	0.227397097311444
"XXX"	3692602	2.33518759655605	0.131721389483702
"XXX"	3699697.10482739	9.738901761929	0.00918986438258387
"XXX"	3700892	1.52293577184329	0.340233166785629
"XXX"	3706592	1.7763849474517	0.241285986200333
"XXX"	3708269.19093149	16.2243512509737	0.00327147275755413
"XXX"	3712792	3.16455558651269	0.0691470378301213
"XXX"	3715162	1.55034007875387	0.327920532952653
"XXX"	3719009.48148869	5.76839217905718	0.0228110873185820
"XXX"	3719512	9.78147099346346	0.00910064239828694
"XXX"	3725312	1.80712747183845	0.233047822983583
"XXX"	3731632	2.75915299511152	0.0926124197002141
"XXX"	3742682	2.273554031922	0.140137996669046
"XXX"	3744382	18.5268254074416	0.00226029026885558
"XXX"	3754632	1.82186002318022	0.229270758981680
"XXX"	3757582	3.1576823546814	0.0694741851058768
"XXX"	3758282	3.51592046719925	0.0574886985486557
"XXX"	3765887.26369763	1.77705061270736	0.241137282893172
"XXX"	3766292	1.65692654922692	0.284737092552938
"XXX"	3767840.41917989	29.7174406524242	0.000505591244349274
"XXX"	3768642	3.35223719351632	0.0621282417320961
"XXX"	3769292	1.72079962111812	0.257762312633833
"XXX"	3778542	1.53848764106420	0.333065667380443
"XXX"	3778942	3.16257289754499	0.0691767784915537
"XXX"	3795217.07574412	2.37507485202914	0.127349512253152
"XXX"	3795922	3.48747643996703	0.0580835117773019
"XXX"	3807472	1.39740111788725	0.409231501308589
"XXX"	3809232	4.06340356059405	0.0434511063526053
"XXX"	3813732	1.26047106696154	0.492118724720438
"XXX"	3818544.68350442	2.9486831246359	0.0806566738044254
"XXX"	3819282	1.67144122583333	0.279651439448013
"XXX"	3834836.84533691	4.08152639776016	0.0431536997382822
"XXX"	3842962	1.55644430221689	0.325452058053771
"XXX"	3843912	1.90417639687950	0.208065667380443
"XXX"	3846512	1.35187972053728	0.438704496788009
"XXX"	3851522	8.3576063296308	0.0122531525101118
"XXX"	3851872	86.3464206022178	2.97406614323103e-05
"XXX"	3852452.81916424	4.73169488938771	0.0331608374970259
"XXX"	3853372	2.69118086847607	0.0972519628836545
"XXX"	3874121.97854572	1.71153704942427	0.261628598620033
"XXX"	3876582	2.31056603449196	0.135082084225553
"XXX"	3882982	1.24811703575647	0.498929336188437
"XXX"	3888862	1.37092203073908	0.425618605757792
"XXX"	3892312	1.45572352300836	0.371371639305258
"XXX"	3893362	4.00491336845838	0.0446109921484654
"XXX"	3893812	1.94939316534226	0.197388769926243
"XXX"	3895957.56550129	1.91556689816303	0.205775636450155
"XXX"	3896912	1.60938798869044	0.303414227932429
"XXX"	3904572	2.45284046873122	0.118516535807756
"XXX"	3905368.7254881	2.36901533808409	0.127795622174637
"XXX"	3905872	2.26126129128775	0.141595289079229
"XXX"	3906980.38925706	5.38590701377891	0.0256959314775161
"XXX"	3909322	2.17195874497242	0.154829883416607
"XXX"	3910272	2.44156980605990	0.119765643587913
"XXX"	3911222	1.78084450020169	0.240007137758744
"XXX"	3911922	2.94735848237956	0.080805377111587
"XXX"	3912572	9.92179949134815	0.00886271710682846
"XXX"	3913163.31666181	13.8012866347348	0.00446109921484654
"XXX"	3913722	3.33316839652394	0.0628717582679039
"XXX"	3914433.43298736	2.65006536046694	0.0999583630739948
"XXX"	3915017.0134237	1.78232697365830	0.239531287175827
"XXX"	3916962	2.41229658715769	0.123037116345468
"XXX"	3922862	2.36007447466687	0.129074470616227
"XXX"	3926639.35873798	2.05511998520357	0.174458719961932
"XXX"	3929431.90158055	2.15543761654856	0.156822507732572
"XXX"	3930875.74231904	3.81188122331475	0.0493100166547704
"XXX"	3935356.81840418	1.86609962020429	0.216393052581489
"XXX"	3936062	2.15016821713689	0.157506542945515
"XXX"	3943292	1.7548404393817	0.247412562455389
"XXX"	3943642	2.15583836328919	0.156733285748275
"XXX"	3947842	2.00410875722264	0.184808470140376
"XXX"	3962982	2.03717501832039	0.177432786105163
"XXX"	3980172	1.70572286856331	0.264245776826077
"XXX"	3983317.02200083	3.5256064829964	0.0571912919343326
"XXX"	3986612	55.9553794195499	0.000178443968593862
"XXX"	3991712	2.32959398883080	0.132494646680942
"XXX"	4000538.72387478	12.2399882995962	0.00588865096359743
"XXX"	4001262	3.80805690731182	0.049458719961932
